AÑO,0-4,5-14,15-19,20-29,30-59,60+
2020,1.0,1.0,1.0,1.0,1.0,1.0
2021,1.0083977158212967,1.0048132594835164,1.0106706474263283,1.0144965120199165,1.0297709171929048,1.0415397938374724
2022,1.0192689406663207,1.0071571075798373,1.0238016254768618,1.0260626021109411,1.060723561923754,1.0941140319021148
2023,1.0290713653159067,1.0077291181271537,1.0395311549731852,1.035981950675553,1.0937934684934205,1.1609911445093164
2024,1.0367972638714997,1.0072966223474755,1.0562558743849173,1.0456290033972149,1.1262663564631878,1.2304941754895662
2025,1.0403701102391059,1.0073105738242394,1.0713772322662687,1.0560281113041674,1.1579268067506185,1.302176160013409
2026,1.0389654014108163,1.008831284791495,1.0832918670868579,1.0675164025829205,1.1885594002732744,1.3760929686845267
2027,1.0361559837542371,1.0107565885849017,1.090866368109692,1.0798086149218122,1.2182318401713506,1.4520211190881918
2028,1.0335603261367454,1.0122214936451024,1.0941283794990877,1.0923082907600945,1.2472457131602595,1.5304075760538594
2029,1.0308119827770483,1.0131841455418056,1.0943218886493062,1.103731749695288,1.2760195477430234,1.6111405983741653
2030,1.0278804165267048,1.0140909915314535,1.091529828053298,1.1136121988537642,1.3045902729052032,1.6941643154454284
2031,1.0245518673466272,1.0156256539754733,1.0860839276828662,1.122208967609761,1.3324224183561677,1.7793669860602843
2032,1.0208874095336977,1.0174812003850608,1.079753414054293,1.130105547055315,1.3591097652547484,1.866860351426097
2033,1.0167954316425931,1.0186949788635127,1.0742798695195444,1.1374056689401209,1.3848246488668956,1.9563371232226163
2034,1.012398082267078,1.018820542154387,1.0701056007076906,1.1437462721402454,1.4100286815121188,2.0468475011872505
2035,1.0075732128133874,1.017020801651855,1.06966329407862,1.148025206815176,1.4351834755099278,2.137497555661089
2036,1.0024124347268453,1.0129888248671122,1.074749820312932,1.149464484842198,1.4606029272375889,2.227421292287063
2037,0.9969768223043333,1.008315080151234,1.0815226405705756,1.1481289385648712,1.4864347526373451,2.3163952286504457
2038,0.9912358383974105,1.0035994810050644,1.0865262343119368,1.144978086667877,1.5126297130617823,2.404419364751236
2039,0.9851894830060769,0.998716464137729,1.0891247857577266,1.140880682554913,1.5387015768676835,2.492303824342822
2040,0.9789599047240969,0.9936102236421726,1.087991375020733,1.137081507222323,1.5640225513005157,2.580942537084113
2041,0.9723638806608239,0.9882668080416313,1.082683695471886,1.1347216099167552,1.587884830803698,2.6716763974634747
2042,0.9656457080037866,0.9826862173361051,1.0764361143362635,1.132737740203833,1.6096975516082572,2.7657904293655893
2043,0.958774849604544,0.9767986941417749,1.0705479073367612,1.1303778428982652,1.6292699139554636,2.864318238958572
2044,0.9516596940177726,0.9706321414121685,1.0647149886658926,1.12762895153134,1.6466696209855116,2.9675950498645136
2045,0.9444529269856781,0.9641726076705219,1.058882069995024,1.1247892948834315,1.661804350234499,3.075592926781574
2046,0.9372766971020247,0.9574898503006544,1.052855642173937,1.1224812634527113,1.6745940889003779,3.1869989105232284
2047,0.930039392921489,0.950555966349038,1.0466357052026318,1.1205751925520604,1.6852357915728056,3.302148224711568
