AÑO,0-4,5-14,15-19,20-29,30-59,60+
2020,1.0,1.0,1.0,1.0,1.0,1.0
2021,0.992234024029253,0.996808070580536,0.9958854642886078,1.0069244895754563,1.025467960786945,1.043952145262509
2022,0.9879296534912066,0.9914521735372381,0.9953067672827861,1.011315761045695,1.0535949466681929,1.1037007741207536
2023,0.984635208079401,0.9844941378394898,0.9985764053656786,1.0137058442259912,1.0831810413221183,1.1747209733797845
2024,0.9812850426606303,0.9763692265899451,1.0042302751125565,1.0146969860645998,1.112111918510946,1.249079604738945
2025,0.9765697370712171,0.9678954874638053,1.0098667839492599,1.0152965323538943,1.1397573590262784,1.3261834276508255
2026,0.9695281211910152,0.959924924832223,1.0136746102475667,1.015958193799287,1.165742389017608,1.405474098070805
2027,0.9619432352429044,0.9519605361453594,1.0144211293850767,1.0167845954412877,1.1899880666216698,1.4868876390771038
2028,0.9543513842939231,0.9435763192176377,1.0119385192301016,1.0176217997191315,1.2127154290556053,1.5702670164071724
2029,0.9462928782866098,0.9346889257953584,1.0072510734829458,1.0179134708868964,1.2343520780787656,1.6553563223738927
2030,0.9379627372453422,0.926060838051256,1.0000925915209316,1.0174273522739548,1.2550861584652648,1.7419229136253396
2031,0.9294445411805676,0.9187138438362423,0.9898670154280622,1.0166387598574051,1.2747439981159208,1.8298388363179536
2032,0.9208009751001219,0.9125645948966173,0.977615999814817,1.0160797234525225,1.293253233656074,1.918702780669664
2033,0.9121295490161936,0.90667156466281,0.9648846656867397,1.0160149076374636,1.3109651563772526,2.0080261956414267
2034,0.9034790179348773,0.9006427076451957,0.9518871309359845,1.016274170897699,1.3284849872311537,2.0969948295015035
2035,0.8948354518544315,0.8940921522988683,0.9408050832744992,1.0156071081343847,1.3464468925193374,2.184718821428779
2036,0.886205815775727,0.8866587228577956,0.9341384937674333,1.012771416225559,1.3652613699307812,2.2702443336803597
2037,0.8776040397005049,0.87915429305246,0.9300413189662157,1.0074916279572215,1.385016571212797,2.353129343887587
2038,0.8690161936270242,0.8718196467268832,0.9260309487158713,1.0003348817111375,1.4054598824029376,2.4336762884079635
2039,0.8603726275465784,0.864318303893907,0.9217080820823833,0.9918197040077779,1.425976872665459,2.5126587063866417
2040,0.851610656451332,0.8566440906088126,0.9161583777965533,0.9827941017608296,1.445736021040638,2.591042067734112
2041,0.8427511753438969,0.8487198325626192,0.9086700385412206,0.9741925029707249,1.4639610658730378,2.669925612288222
2042,0.8338499042312381,0.8405702255342006,0.9009560074536175,0.9656341147239926,1.4800586274904513,2.7507110162443222
