AÑO,0-4,5-14,15-19,20-29,30-59,60+
2020,1.0,1.0,1.0,1.0,1.0,1.0
2021,0.9913860545633104,0.9911131357273563,0.9919841006955946,1.0046836267263735,1.0125738255554042,1.0273337693927191
2022,0.9832381776719876,0.9806589096412054,0.9852048139560561,1.0071549061941916,1.0263385109598744,1.0638912168100894
2023,0.9732177039466019,0.9694094211570682,0.980354053954584,1.0076918097457515,1.0412406312418894,1.1064734378513175
2024,0.9607254024002531,0.9580248152752149,0.9768282359868978,1.0066560809086997,1.055717075137914,1.1499448112339798
2025,0.946268954841287,0.9470494220835874,0.9732361709175223,1.0047217049924415,1.0696127378919196,1.1941878053267379
2026,0.9308221116234167,0.9368036628396272,0.9682529167126716,1.0023684681494343,1.082872471146207,1.2389622467959855
2027,0.9167318607786674,0.9264922751453477,0.9609289315814655,0.9997524912705575,1.0955031684454883,1.284375447131206
2028,0.9045558200309602,0.9155554869244964,0.9513967097272827,0.996595803013514,1.1076289135945872,1.3305398278928111
2029,0.8930372688383241,0.9040319031478493,0.9406352360973096,0.9923767311331712,1.1193651734674357,1.377675122130695
2030,0.8811358756262796,0.8923075735231668,0.929417393544588,0.9869810408313247,1.1305654602388957,1.4258682010506305
2031,0.868227441450139,0.8812897148636859,0.9174119465606713,0.9806638564906308,1.140962649051362,1.4750475236596283
2032,0.8543619022254773,0.8712485619648386,0.9046851422472489,0.9738135764249839,1.1503723375837782,1.524850274921816
2033,0.8400302944554489,0.8611456411127497,0.8926502521070259,0.9668452537345259,1.1587428242508009,1.5751282627802874
2034,0.8257652679061871,0.85027062084514,0.8816237900702956,0.9599226249633497,1.166272298462912,1.6254829017026757
2035,0.8118414701133545,0.8383802898461206,0.8718854661219683,0.9527258326764833,1.17329682052484,1.675290763035791
2036,0.7982589010769513,0.8255943235250971,0.8643627396856943,0.9444133471938222,1.1801386636518898,1.7238773174171658
2037,0.7848427850924646,0.8129550560930225,0.8575245666335432,0.9345434606289768,1.1870322083642826,1.7708695296690717
2038,0.7714516370657656,0.8009527706787526,0.8489198042030106,0.9239005852629495,1.1940067522270459,1.8162009688694478
2039,0.757985585165704,0.7892747670190013,0.838290824776416,0.9131358594455042,1.2008882332361919,1.8601680191321055
2040,0.7444695973500675,0.7775851818680173,0.8260203893857422,0.9027595319419535,1.2073612717211286,1.9031948163440509
2041,0.7310201907551975,0.7656099199332906,0.8128887416731073,0.8930571897478077,1.213125998486867,1.9456135151155898
2042,0.7177622051700318,0.7533065157469676,0.8008538515328844,0.8832901145013461,1.2179756071920351,1.9876847290640394
2043,0.7048038350783161,0.7407985052155316,0.7903868094659747,0.8729632887436838,1.2218808002716057,2.029679291948572
2044,0.6921783710904339,0.7282827736899403,0.7804497442125796,0.8620995594344616,1.2249105131727023,2.071745395826094
2045,0.6798774905537893,0.7158982990649876,0.7702624121305804,0.8510835170609671,1.2270388951026534,2.113929031334955
2046,0.667859580205403,0.7036914073056046,0.7592874756173862,0.8407414599968775,1.2280246719965258,2.156153547411238
2047,0.6560913494348919,0.6916582379147139,0.7475470170402267,0.8312980500119946,1.2277403132771394,2.1985620260409213
2048,0.6445395076318724,0.6797640464186169,0.7354532405873909,0.8217860991481892,1.2264805179809497,2.2413282096355496
2049,0.6332290227541322,0.667985669834848,0.7234036288690148,0.8115849316685515,1.2243659231404231,2.2847484823089346
2050,0.6221016362335003,0.6563424106487952,0.7116484487137021,0.80046988580328,1.2212965723572304,2.329292970586432
