AÑO,0-4,5-14,15-19,20-29,30-59,60+
2020,1.0,1.0,1.0,1.0,1.0,1.0
2021,1.008848154255994,1.0043822489701715,1.0124004584055715,1.0143866482805681,1.0291216652527888,1.0454804947668888
2022,1.0195991373842446,1.006617195944959,1.0262995504099204,1.0271668822768434,1.0589397181529268,1.1002854424357755
2023,1.029557275149055,1.0075082532355606,1.041785430930622,1.0393784740485905,1.0897327137593538,1.166997417425581
2024,1.0369148801217811,1.0075520757252623,1.0575063912315241,1.0515758497647243,1.119936945263931,1.2363191518281909
2025,1.0401496892046176,1.0079318706360103,1.0714936381534483,1.0646119727620373,1.1494321275275705,1.3082234606497214
2026,1.0390714195103388,1.0095679102515411,1.082336693015192,1.0784584109293036,1.1781232985983616,1.3823297539758053
2027,1.0366294557909426,1.0116567822606561,1.089359701448679,1.092731330764966,1.2061370744121855,1.4591817316841105
2028,1.0340289229988584,1.0134535043384265,1.0925920484264346,1.1066772813215244,1.2337330176375998,1.5387250237868697
2029,1.0313649625776988,1.0147535715329108,1.092709588316535,1.1194575153178,1.2611580293495739,1.6212314802229169
2030,1.0284472916402385,1.016126676210231,1.089859245981605,1.1302759336394523,1.2883551323769609,1.7070816909066195
2031,1.0252441963719396,1.0181571182330773,1.084628720872146,1.1394168573987462,1.3148748401473809,1.7962756558379775
2032,1.0215336800710388,1.0203774577112974,1.0786929564220857,1.1475057930426624,1.3402233505108954,1.8891124099497079
2033,1.0173791703666117,1.0217943848783195,1.0738444359554524,1.1545853887380408,1.364406994264298,1.984966698382493
2034,1.012780667258658,1.0218674223611557,1.070700243895272,1.160371323372617,1.3877676344344698,2.083702596166916
2035,1.007865026005328,1.0200414852902508,1.0714054832358733,1.1639395533315327,1.4106471340482913,2.1843414435231754
2036,1.0026639604211594,1.0162143211896346,1.0769886280156329,1.1647925166683253,1.4332797325871434,2.2857686557020527
2037,0.9971774705061525,1.0116275672675217,1.08407040639417,1.1632998308289382,1.455735068815761,2.3876036427891805
2038,0.9913738424457694,1.0068947383797364,1.089330316476154,1.1603855394282303,1.478044796718115,2.4899551447600925
2039,0.9853165038690854,1.0019720120365772,1.0918280391407833,1.156831525524928,1.5000316539839704,2.592850346608672
2040,0.9789737409615629,0.9968593882380438,1.0906820252123064,1.1537039932900217,1.5212208308537714,2.6968057632187032
2041,0.972408981352277,0.9914984369978673,1.085862889718198,1.1518416900046913,1.541200825535902,2.802310724480087
2042,0.965622225041228,0.9858307283297788,1.080015280185713,1.1504058683877572,1.5596171134098937,2.9098817452766075
2043,0.9587086134720284,0.9799000847234801,1.0744027504334284,1.1487425898810115,1.5764380404917764,3.0195460106021477
