AÑO,0-4,5-14,15-19,20-29,30-59,60+
2020,1.0,1.0,1.0,1.0,1.0,1.0
2021,0.9819505791779752,0.990153462647036,0.9958812398835805,1.0073421028453644,1.0134763320924254,1.034166087327039
2022,0.9697905025455449,0.9772415673443952,0.992940353970196,1.0131143218940868,1.0281252869747037,1.0773082012065216
2023,0.9612491795717808,0.9620511022824647,0.9917472813903475,1.0173965494513395,1.0433729152391515,1.127598618555314
2024,0.9558299185780427,0.9451585261353899,0.9915725000569939,1.0204244678173822,1.058191405946469,1.178881388621022
2025,0.9518120376776116,0.9279154007945781,0.9909645649844596,1.0226654469774743,1.0724642032169422,1.2307976946020498
2026,0.9469692938108669,0.9117511879722676,0.9883732417377824,1.0245109592269621,1.0861471570961339,1.283285864860622
2027,0.942162027921168,0.8963893433045104,0.9827498423168406,1.0260369022557592,1.0992367355876889,1.3364019645219887
2028,0.9374878044453905,0.8814403676871543,0.9743527391274612,1.0268278360769683,1.1119024745166464,1.3904038931622973
2029,0.9320241959803452,0.8670912206901924,0.9642078226045458,1.0262845684017943,1.1243209737007551,1.4454093875445717
2030,0.9256470296063718,0.8543935498948353,0.9515551739074267,1.0241474492384266,1.1364374871965133,1.5014520867439618
2031,0.9185425647029606,0.8444885876762483,0.9351029310069685,1.0206561555023828,1.1479058793611325,1.5586160884483415
2032,0.9110567115463076,0.8371231596167329,0.9155274216713655,1.0162261271805606,1.158452420477102,1.6167163777443878
2033,0.9032515565962429,0.8312144582067461,0.8943332852051401,1.0113007665666682,1.1680364925863396,1.675506268081003
2034,0.8948787540134462,0.826291189530264,0.8718168899561527,1.006059831347344,1.1768717814683216,1.7344531407683166
2035,0.8856810884643358,0.8215977253252318,0.8512610853160882,0.9993848292501708,1.1852849967858834,1.7928786077908099
2036,0.875623081971866,0.8162460076341824,0.8367162387057062,0.9897777795531624,1.1936081461963932,1.849992150882465
2037,0.8650062973409256,0.8107618602477215,0.8269208848494981,0.97705892456968,1.2020637454702148,1.9053284295037116
2038,0.8540169939510049,0.8052037080314716,0.8195952672254603,0.962095095810847,1.210644730614638,1.9589322957547488
2039,0.8427616057332411,0.7990807821142011,0.8146709931379329,0.9455414101790786,1.2191745018119142,2.011100894799399
2040,0.8311869157220655,0.7922022279348757,0.810863799746187,0.928720085324982,1.22733164739374,2.0621313718014846
2041,0.8194082273428769,0.7846303653501597,0.806357481021027,0.9130691827416643,1.2347682657191499,2.112455428225427
2042,0.8075053660440281,0.7766222637687933,0.8019271541799335,0.8982531547474005,1.2412318190487628,2.1623533896974725
2043,0.7956911996877938,0.7683415128145206,0.7976716086721938,0.8838925128926207,1.2467187753862239,2.211987845080846
