Municipio,Nin_kg
Ahome,38960.87902555556
Angostura,14410.857772222224
Bacum,7228.163522222223
Benito Juarez,6762.276444444444
Caborca,2019.7854444444445
Cajeme,21838.11947777778
Concordia,229.14614444444445
Culiacan,28755.925604444445
Elota,5350.829727777777
Empalme,739.8190944444444
Ensenada,1447.7230055555558
Etchojoa,12597.116446666665
Guasave,40941.377644444445
Guaymas,5208.332444444444
Hermosillo,7172.657677777778
Huatabampo,7698.265752777778
La Paz,423.6334611111111
Loreto,23.12
Los Cabos,190.73211111111112
Mazatlan,1108.790522222222
Mexicali,30672.375488888887
Mulege,348.89473333333336
Navolato,22704.427336666668
Pitiquito,141.25816666666665
Rosario,833.6819055555554
San Ignacio,549.5943777777778
San Ignacio Rio Muerto,6298.519916666667
San Luis Rio Colorado,6034.762032777778
