,Ciclo Agricola,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo Sin Um,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valor produccion,Fertilizante N (kg/ha),Nin_kg
0,2020,2,Baja California,2,Ensenada,3,Ensenada,1,Ensenada,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,28.0,28.0,0.0,837.1,29.9,"$5,151.68","$4,312,471.33",110,3080.0
1,2020,2,Baja California,2,Ensenada,3,Ensenada,1,Ensenada,1,Otoño-Invierno,1,Riego,200201,Tonelada,8970000,Tomate rojo (jitomate),2.5,2.5,0.0,213.75,85.5,"$35,000.00","$7,481,250.00",200,500.0
2,2020,2,Baja California,2,Ensenada,3,Ensenada,1,Ensenada,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,213.5,179.5,34.0,3641.29,20.29,"$5,102.14","$18,578,374.72",110,23485.0
3,2020,2,Baja California,2,Ensenada,3,Ensenada,1,Ensenada,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,207.0,207.0,0.0,5765.95,27.85,"$9,953.78","$57,392,996.39",200,41400.0
4,2020,2,Baja California,2,Ensenada,3,Ensenada,1,Ensenada,2,Primavera-Verano,1,Riego,200201,Tonelada,8970000,Tomate rojo (jitomate),293.0,293.0,0.0,9712.3,33.15,"$18,182.62","$176,595,033.15",200,58600.0
5,2020,2,Baja California,2,Ensenada,3,Ensenada,1,Ensenada,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,1037.5,1037.5,0.0,18156.25,17.5,"$3,200.00","$58,100,000.00",24,24900.0
6,2020,2,Baja California,2,Ensenada,3,Ensenada,1,Ensenada,3,Perennes,1,Riego,200201,Tonelada,7580000,Manzana,12.5,0.0,12.5,0.0,0.0, $-   , $-   ,120,1500.0
7,2020,2,Baja California,2,Ensenada,3,Ensenada,1,Ensenada,3,Perennes,1,Riego,200201,Tonelada,7850000,Naranja,57.5,55.5,0.0,360.75,6.5,"$6,000.00","$2,164,500.00",160,9200.0
8,2020,2,Baja California,2,Ensenada,3,Ensenada,1,Ensenada,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,5.0,5.0,0.0,20.55,4.11,"$28,754.22","$590,899.22",90,450.0
9,2020,2,Baja California,2,Ensenada,3,Ensenada,1,Ensenada,3,Perennes,1,Riego,200201,Tonelada,9130000,Uva,4020.99,3726.38,0.0,26918.36,7.22,"$18,131.46","$488,069,111.12",160,643358.3999999999
