id_ptar,nom_ptar,Proceso de tratamiento,NRE,nom_loc,cap_inst,caud_trat,LONGITUD,LATITUD,%ut,Monto
780,Puerto Penasco,Lagunas de Estabilización,60,Puerto Pe¤asco,84.92,192.25,-113.5401,31.3068,226.39%," $5,383,000.00 "
762,San Carlos,Lagunas de Estabilización,60,San Carlos (San Carlos Nuevo Guaymas),14.56,28.8,-111.0518,27.9484,197.80%," $806,400.00 "
1809,El Quemadito,Fosa Séptica,85,Ejido El Quemadito,1.2,1.8,-107.4152,24.697,150.00%," $50,400.00 "
3217,Ejido Rebeca II,Reactor Enzimatico,45,Ejido Rebeca Dos (Metesaca),1.1,1.5,-107.4032,24.4522,136.36%," $42,000.00 "
1802,Nuevo San Miguel,Fosa Séptica,85,Nuevo San Miguel,5.8,7.3,-109.0548,25.9647,125.86%," $204,400.00 "
2455,Las Arenitas,Lagunas Aireadas,60,Mexicali,840,1026,-115.4756,32.6412,122.14%," $28,728,000.00 "
1141,El 30,Reactor Enzimatico,45,Nuevo Centro de Poblaci¢n Ejidal El 30,2.3,2.8,-107.3892,24.61,121.74%," $78,400.00 "
2136,Los Mochis,Lagunas de Estabilización,60,Los Mochis,920,1112,-108.9943,25.7834,120.87%," $31,136,000.00 "
3378,Huatabampito,Fosa Septica + Wetland,85,Huatabampito,1,1.2,-109.2131,25.9574,120.00%," $33,600.00 "
3741,Quetchehueca,Lagunas de Estabilización,60,Quetchehueca,7.15,7.81,-109.9478,27.2625,109.23%," $218,680.00 "
3218,Ejido La Flor,Reactor Enzimatico,45,Ejido la Flor,1.1,1.2,-107.3714,24.4249,109.09%," $33,600.00 "
1049,Argentina Dos,Reactor Enzimatico,45,Argentina Dos,1.5,1.6,-107.429,24.7167,106.67%," $44,800.00 "
753,Empalme,Lagunas de Estabilización,60,Empalme,85.8,91.25,-110.816,27.9576,106.35%," $2,555,000.00 "
761,La Salada,Lagunas de Estabilización,60,Herocia Guaymas,252.72,263.67,-110.8894,27.9232,104.33%," $7,382,760.00 "
111,La Paz,Lodos Activados,67.5,La Paz,700,700,-110.3066,24.1487,100.00%," $19,600,000.00 "
